Text,True Label,Predicted Label
househomeland merry christmas to our law enforcement and first responders across the country working today and every day to keep us sa…,1,0
<unk> <unk> s beautiful explanation free trade,1,0
i strongly suppo the trump administration s withdrawal from the reckless and dangerous iran deal a serious threat to our national security that finances global terrorism,1,0
judge dismisses charges in bundy case calling prosecution outrageous we must ensure such misconduct isn t repeated more,1,0
excellent news that fr conroy is being reinstated good man getting proper recognition never should have been forced to resign in 1st place hope there was no religious bias behind the complaints against fr conroy,1,0
m i s s i o n act will improve veterans access to timely and high-quality care they ve earned and help modernize deptvetaffairs health care infrastructure v a choice …,1,0
second session of the 115th has begun ready to get to work and accomplish great things,1,0
houseforeign royce urges admin to act against corrupt russian oligarchs,1,0
i applaud potus for keeping pressure on noh korea & china that pressure in spite of harsh criticism frm <unk> that labeled trump a <unk> has brought them to the table i believe sanctions should remain until mr kim verifiably <unk>,1,0
thank you to my colleagues for their overwhelming suppo of my bill with repteddeutch to send a clear signal to the corrupt regime in iran that we will not tolerate the unjust politically-motivated detention of our citizens nor turn a blind eye to their oppressive behavior,1,0
foxnews rep_hunter if i travel to china i have to leave my iphone off my <unk> off and my laptop off when i m in chinese <unk>,1,0
talking to neil cavuto in a couple of minutes about why we should cancel august recess,1,0
mark your calendar all natlparkservice sites will waive entrance fees on april 21 tomorrow in honor of national park week find your park here,1,0
pleased to suppo our volunteers at the 64th annual new vernon fire dept country auction,1,0
<unk> what s the word from dc today rep warrendavidson talked data trading crypto with the boston securities traders assn a…,1,0
today we send a huge thank you and show our appreciation for our nurses especially my wife kelly who is a proud nurse nurses are the backbone of our medical professionals and health care system,1,0
<unk> the <unk> award for fake news goes to,1,0
i always look forward to attending the fvsuag ham & eggs legislative breakfast a time to celebrate the strength and success of georgia s ag research and education programs georgia is leading the way in feeding not only our neighbors but also the world,1,0
good to see so many people come out to suppo our fallen today in laurel,1,0
taylornbcmt redcross so proud of our community for rallying together in trying times,1,0
joining marshablackburn lamarsmithtx21 & repbrianbabin in calling for suspension of all resettlement services,1,0
the bill provides essential funding for the continuation and extension for 6 years of health care for 9 million low income children through chip ensures the availability of affordable flood ins through the nfip and <unk> off the job-killing medical manufacturing device tax,1,0
you can watch the full interview here,1,0
<unk> the <unk> bond is strong while all eyes are on pyeong <unk> for the winter olympics we couldn t be prouder to have s…,1,0
fwd_us thank you repdavidvaladao for your leadership and for fighting to protect dreamers dream act now,1,0
yesterday s listening session in mn on the next farm bill was another great oppounity for houseagnews icymi,1,0
repbrianfitz joined reptommacahur repanniekuster donaldnorcross & 40 other members of the bipaisan heroin task force in <unk>,1,0
outfrontcnn repryanzinke on general mad dog mattis trump s sec of def pick this is the right guy at the right time,1,0
reduce_spending who will tell the american people that the debt service we pay will be greater than our expenditures for the military …,1,0
huge congrats to the pueblo <unk> library for being named best public library in the nation winning the leslie b <unk> award <unk>,1,0
<unk> we got excited,1,0
sensasse facebook is a really big and powerful platform their decisions on how to police speech will have far-reaching consequences …,1,0
<unk> as future caucus leaders we re heaened to see this movement of young americans standing up to say enough see r…,1,0
repanniekuster tune in to watch the bipaisan heroin task force live reptommacahur and i are joined by fellow task force members…,1,0
just a little <unk> before the lincoln day dinner in mitchell <unk>,1,0
17 why won t the fbi give congress the documents it s requesting,1,0
great piece by humanesociety about how service dogs can help our vets proud to paner with reptimwalz on <unk>,1,0
congratulations sarah thank you for your hard work & dedication,1,0
this morning i joined <unk> for the grand opening of <unk> s state of the a <unk> center allowing the network s team to continue producing its news and enteainment content,1,0
<unk> congress takes up legislation to improve urban flood maps via houstonchron,1,0
day in and day out teachers all across the nation show extreme dedication to instilling knowledge dreams and power into our country s future and it does not go unnoticed,1,0
if we fix our parks we will create new jobs improve crumbling infrastructure and save america s best idea for years to come find your park …,1,0
mccain is one of the toughest men i know he s never been one to shy away from a fight and i don t expect him to do so this time,1,0
meetthepress chucktodd is back in d c for a busy m t p daily is and joined by <unk> <unk> and repsanfordsc <unk>,1,0
our heas are w/ mexico city & all of mexico as it works to recover from the devastation of yesterday s early morning eahquake,1,0
today is the last day to get your submission in for this year s congressional a <unk> submit your piece here by 5 pm …,1,0
repgoodlatte h r 620 is a common-sense solution because it gives businesses a fair chance to cure title iii violations before they are forced into a lawsuit,1,0
community health centers fill a vital need by serving some of the most vulnerable populations i m honored to receive this award …,1,0
