Text,True Label,Predicted Label
congratulations to <unk> <unk> ph d of the elkhorn slough national <unk> research reserve today she will receive the prestigious national wetlands award for science research for her commitment to the conservation and restoration of our nation s wetlands,0,1
50 years after his death we continue to march in honor of dr main luther king jr and the justice he so deeply believed in grateful i was able to paicipate in the march to rename the <unk> this weekend i look forward to seeing main luther king jr blvd,0,1
with eah day approaching i ll be holding a facebook live q & a on our fight against offshore drilling tweet me your questions or watch live kill the drill,0,1
this is something you d expect from realdonaldtrump not the speaker of the house then again speakerryan has acted like a junior whitehouse staffer since january 2017 …,0,1
usmc corporal o malley s selfless service is a reminder to us all of the great price our military pay for the freedoms each of us are so founate to enjoy …,0,1
<unk> we proclaimed the month of march done vida donating organs can save lives thank you to our congresswomen <unk>,0,1
i m terribly saddened to learn that repanthonybrown suffered a minor stroke but i m happy to know that he is now at home recovery i m praying for him and his family,0,1
talk to anyone in my district we need jobs we need education we need infrastructure everything else depends on this strong foundation sotu,0,1
congrats to our national champion duluth bulldogs,0,1
it s national prescription drug take back day safely dispose of unused medication to prevent drug addiction and overdose deaths in our community find a site to get rid of your prescriptions here,0,1
let s back our senatedems in blocking this nomination,0,1
today is d e a take back find a collection site near you to safely dispose of unused prescription medication,0,1
my thoughts and prayers are with the victims families and the state of florida after today s horrific event,0,1
from full funding for the glri to fighting algal blooms and asian carp to <unk> clean energy and advanced manufacturing research this budget takes a step forward congress is again living up to its promises to invest in the american people,0,1
tax <unk> jobs act will increase health care premiums and gives new tax breaks to companies shipping jobs overseas,0,1
if infrastructure gap is not addressed by 2025 economy estimated to lose almost 4 trillion in gdp costing economy 2 5 million jobs /3,0,1
i m sorry you feel that way about our brave veterans getting the benefits that they ve earned,0,1
indigenous women in the us face tragically high rates of violence sexual assault and murder we must do more to protect indigenous women and seek justice on behalf of those who are missing or murdered <unk>,0,1
nicholsuprising as the people s elected representatives we stand willing to carry out our constitutional duty to debate and vote on…,0,1
pets are family and <unk> is an impoant member of the polis family both at work and at home national pet day,0,1
charlesallen thank you chesapeake climate action network for the honor last night i m proud to be recognized as a leader battling <unk>,0,1
